yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2013,10,7080.0,2,6,OVERALL,31.2
2013,10,7277.0,2,7,OVERALL,30.7
2013,10,7381.0,2,8,OVERALL,27.2
2014,10,5844.0,1,2,OVERALL,30.5
2014,10,5844.0,1,3,OVERALL,35.2
2014,10,6347.0,2,8,OVERALL,23.6
2014,11,2352.0,1,2,OVERALL,28.0
2014,11,2352.0,1,3,OVERALL,35.4
2014,11,2518.0,2,8,OVERALL,27.7
2011,12,7407.0,1,2,OVERALL,21.8
2011,12,7407.0,1,3,OVERALL,33.8
2011,12,7301.0,0,0,OVERALL,39.5
2011,12,7201.0,0,1,OVERALL,22.6
2011,12,7215.0,2,5,OVERALL,23.7
2011,12,7236.0,2,6,OVERALL,38.1
2011,12,7321.0,2,7,OVERALL,32.1
2011,12,7382.0,2,8,OVERALL,21.3
2012,12,7371.0,1,2,OVERALL,23.6
2012,12,7371.0,1,3,OVERALL,32.5
2012,12,7580.0,2,8,OVERALL,18.7
2013,12,7609.0,1,2,OVERALL,21.8
2013,12,7609.0,1,3,OVERALL,33.6
2013,12,7359.0,0,0,OVERALL,39.2
2013,12,7241.0,0,1,OVERALL,23.1
2013,12,7222.0,2,5,OVERALL,26.5
2013,12,7241.0,2,6,OVERALL,39.5
2013,12,7304.0,2,7,OVERALL,35.0
2013,12,7368.0,2,8,OVERALL,22.1
2014,12,6905.0,1,2,OVERALL,22.1
2014,12,6905.0,1,3,OVERALL,36.0
2014,12,7245.0,2,8,OVERALL,19.6
2011,14,5739.0,1,2,OVERALL,27.0
2011,14,5739.0,1,3,OVERALL,35.2
2011,14,5705.0,0,0,OVERALL,38.1
2011,14,5611.0,0,1,OVERALL,20.1
2011,14,5499.0,2,5,OVERALL,22.4
2011,14,5702.0,2,7,OVERALL,30.3
2011,14,5520.0,2,6,OVERALL,35.9
2011,14,5784.0,2,8,OVERALL,21.4
2012,14,5578.0,1,2,OVERALL,26.8
2012,14,5578.0,1,3,OVERALL,35.8
2012,14,5889.0,2,8,OVERALL,20.3
2013,14,5315.0,1,2,OVERALL,29.6
2013,14,5315.0,1,3,OVERALL,35.4
2013,14,5225.0,0,0,OVERALL,38.5
2013,14,5132.0,0,1,OVERALL,20.4
2013,14,5028.0,2,5,OVERALL,20.4
2013,14,5051.0,2,6,OVERALL,33.6
2013,14,5194.0,2,7,OVERALL,30.1
2013,14,5260.0,2,8,OVERALL,23.7
2014,14,5125.0,1,2,OVERALL,28.9
2014,14,5125.0,1,3,OVERALL,36.8
2014,14,5468.0,2,8,OVERALL,18.7
2011,15,5355.0,1,2,OVERALL,27.1
2011,15,5355.0,1,3,OVERALL,36.9
2011,15,5303.0,0,0,OVERALL,36.0
2011,15,5272.0,0,1,OVERALL,25.2
2011,15,5233.0,2,4,OVERALL,51.7
2011,15,5207.0,2,5,OVERALL,22.0
2011,15,5214.0,2,6,OVERALL,31.2
2011,15,5257.0,2,7,OVERALL,31.4
2011,15,5292.0,2,8,OVERALL,25.1
2012,15,5452.0,1,2,OVERALL,28.1
2012,15,5452.0,1,3,OVERALL,35.8
2012,15,5578.0,2,8,OVERALL,21.8
2013,15,5490.0,1,2,OVERALL,29.4
2013,15,5490.0,1,3,OVERALL,35.3
2013,15,5347.0,0,0,OVERALL,36.7
2011,16,7913.0,0,0,OVERALL,41.6
2013,15,5291.0,0,1,OVERALL,24.0
2013,15,5234.0,2,4,OVERALL,52.4
2013,15,5201.0,2,5,OVERALL,21.3
2013,15,5219.0,2,6,OVERALL,32.7
2013,15,5255.0,2,7,OVERALL,30.2
2013,15,5305.0,2,8,OVERALL,25.1
2014,15,4835.0,1,2,OVERALL,29.3
2014,15,4835.0,1,3,OVERALL,34.5
2014,15,5050.0,2,8,OVERALL,23.9
2011,16,8048.0,1,2,OVERALL,30.8
2011,16,8048.0,1,3,OVERALL,34.8
2011,16,7778.0,0,1,OVERALL,27.3
2011,16,7640.0,2,4,OVERALL,46.0
2011,16,7553.0,2,5,OVERALL,17.3
2011,16,7579.0,2,6,OVERALL,27.5
2011,16,7897.0,2,7,OVERALL,26.0
2011,16,8004.0,2,8,OVERALL,29.2
2012,16,8225.0,1,2,OVERALL,31.4
2012,16,8225.0,1,3,OVERALL,34.1
2012,16,8628.0,2,8,OVERALL,25.9
2013,16,9770.0,1,2,OVERALL,31.8
2013,16,9770.0,1,3,OVERALL,35.4
2013,16,9433.0,0,0,OVERALL,43.6
2013,16,9250.0,0,1,OVERALL,26.9
2013,16,9177.0,2,4,OVERALL,44.0
2013,16,9082.0,2,5,OVERALL,16.2
2013,16,9080.0,2,6,OVERALL,26.2
2013,16,9454.0,2,7,OVERALL,25.6
2013,16,9584.0,2,8,OVERALL,31.0
2014,16,10773.0,1,2,OVERALL,32.7
2014,16,10773.0,1,3,OVERALL,33.7
2014,16,11510.0,2,8,OVERALL,26.1
2011,13,6898.0,1,2,OVERALL,29.0
2011,13,6898.0,1,3,OVERALL,35.8
2011,13,6937.0,0,0,OVERALL,39.8
2011,13,6798.0,0,1,OVERALL,26.9
2011,13,6863.0,2,4,OVERALL,47.6
2011,13,6813.0,2,5,OVERALL,17.2
2011,13,6832.0,2,6,OVERALL,26.9
2011,13,6978.0,2,7,OVERALL,27.5
2011,13,7036.0,2,8,OVERALL,25.9
2012,13,6769.0,1,2,OVERALL,30.4
2012,13,6769.0,1,3,OVERALL,34.3
2012,13,7160.0,2,8,OVERALL,23.1
2013,13,7672.0,1,2,OVERALL,31.3
2013,13,7607.0,0,0,OVERALL,39.3
2013,13,7672.0,1,3,OVERALL,35.7
2013,13,7456.0,0,1,OVERALL,26.8
2013,13,7473.0,2,4,OVERALL,46.9
2013,13,7419.0,2,5,OVERALL,17.9
2013,13,7407.0,2,6,OVERALL,27.2
2013,13,7594.0,2,7,OVERALL,27.2
2013,13,7678.0,2,8,OVERALL,28.5
2014,13,7572.0,1,2,OVERALL,30.9
2014,13,7572.0,1,3,OVERALL,36.0
2014,13,8121.0,2,8,OVERALL,22.6
2012,17,11238.0,1,2,OVERALL,29.8
2012,17,11238.0,1,3,OVERALL,35.7
2012,17,11793.0,2,8,OVERALL,22.9
2014,17,12825.0,1,2,OVERALL,31.3
2014,17,12825.0,1,3,OVERALL,34.7
2014,17,13727.0,2,8,OVERALL,23.8
2011,18,10114.0,1,2,OVERALL,30.4
2011,18,10114.0,1,3,OVERALL,36.1
2011,18,9829.0,0,0,OVERALL,45.9
2011,18,9660.0,0,1,OVERALL,25.2
2011,18,9595.0,2,4,OVERALL,46.8
2011,18,9519.0,2,5,OVERALL,17.3
2011,18,9487.0,2,6,OVERALL,29.3
2011,18,10006.0,2,7,OVERALL,26.3
2011,18,10097.0,2,8,OVERALL,29.3
2012,18,10570.0,1,2,OVERALL,31.3
2012,18,10570.0,1,3,OVERALL,35.6
2012,18,11201.0,2,8,OVERALL,29.7
2013,18,10325.0,1,2,OVERALL,33.2
2013,18,10325.0,1,3,OVERALL,34.1
2013,18,10002.0,0,0,OVERALL,46.2
2013,18,9819.0,0,1,OVERALL,24.9
2013,18,9820.0,2,4,OVERALL,46.0
2013,18,9736.0,2,5,OVERALL,16.6
2014,18,11189.0,2,8,OVERALL,28.2
2013,18,9776.0,2,6,OVERALL,28.5
2013,18,10037.0,2,7,OVERALL,25.8
2013,18,10156.0,2,8,OVERALL,30.2
2014,18,10442.0,1,2,OVERALL,31.6
2014,18,10442.0,1,3,OVERALL,35.1
2011,19,10404.0,1,2,OVERALL,33.4
2011,19,10404.0,1,3,OVERALL,34.1
2011,19,10192.0,0,0,OVERALL,46.7
2011,19,9940.0,0,1,OVERALL,32.5
2011,19,10121.0,2,4,OVERALL,42.0
2011,19,10028.0,2,5,OVERALL,15.5
2011,19,10047.0,2,6,OVERALL,25.9
2011,19,10475.0,2,7,OVERALL,23.9
2011,19,10608.0,2,8,OVERALL,33.8
2012,19,8656.0,1,2,OVERALL,34.7
2012,19,8656.0,1,3,OVERALL,34.9
2012,19,9062.0,2,8,OVERALL,29.9
2013,19,5014.0,1,2,OVERALL,33.1
2013,19,5014.0,1,3,OVERALL,34.3
2013,19,4770.0,0,0,OVERALL,47.5
2013,19,4632.0,0,1,OVERALL,32.7
2013,19,4784.0,2,4,OVERALL,45.1
2013,19,4718.0,2,5,OVERALL,17.2
2013,19,4741.0,2,6,OVERALL,27.6
2013,19,4944.0,2,7,OVERALL,25.9
2013,19,5026.0,2,8,OVERALL,32.2
2014,19,6366.0,1,2,OVERALL,34.9
2014,19,6366.0,1,3,OVERALL,34.1
2014,19,6772.0,2,8,OVERALL,29.5
2011,22,12643.0,1,2,OVERALL,27.8
2011,22,12643.0,1,3,OVERALL,37.2
2011,22,12630.0,0,0,OVERALL,33.2
2011,22,12514.0,0,1,OVERALL,18.9
2011,22,12234.0,2,5,OVERALL,20.6
2011,22,12248.0,2,6,OVERALL,35.6
2011,22,12648.0,2,7,OVERALL,27.5
2011,22,12799.0,2,8,OVERALL,23.0
2012,22,9512.0,1,2,OVERALL,28.3
2012,22,9512.0,1,3,OVERALL,35.8
2012,22,9905.0,2,8,OVERALL,20.9
2013,22,7791.0,1,2,OVERALL,28.9
2013,22,7791.0,1,3,OVERALL,36.0
2013,22,7645.0,0,0,OVERALL,34.0
