yearend,locationabbr,sample_size,race/ethnicity,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2013,AL,1398.0,Non-Hispanic Black,PA,Q043,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,42.5
2013,AL,71.0,American Indian/Alaska Native,PA,Q043,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,41.9
2013,AL,4203.0,Non-Hispanic White,PA,Q044,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,15.6
2013,AL,1384.0,Non-Hispanic Black,PA,Q044,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,17.2
2013,AL,70.0,American Indian/Alaska Native,PA,Q044,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,19.2
2013,AL,71.0,American Indian/Alaska Native,PA,Q045,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,21.3
2013,AL,4224.0,Non-Hispanic White,PA,Q045,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,29.0
2013,AL,1392.0,Non-Hispanic Black,PA,Q045,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,24.3
2013,AL,54.0,Hispanic,PA,Q046,Race/Ethnicity,Hispanic,RACE,RACEHIS,42.5
2013,AL,1438.0,Non-Hispanic Black,PA,Q046,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,26.7
2013,AL,4365.0,Non-Hispanic White,PA,Q046,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,23.6
2013,AL,70.0,American Indian/Alaska Native,PA,Q046,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,23.1
2013,AL,4424.0,Non-Hispanic White,PA,Q047,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,30.2
2013,AL,1452.0,Non-Hispanic Black,PA,Q047,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,34.1
2013,AL,55.0,Hispanic,PA,Q047,Race/Ethnicity,Hispanic,RACE,RACEHIS,33.2
2013,AL,71.0,American Indian/Alaska Native,PA,Q047,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,28.3
2013,AL,50.0,2 or more races,PA,Q047,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,36.3
2015,US,1691.0,Other,OWS,Q036,Race/Ethnicity,Other,RACE,RACEOTH,24.3
2014,AL,5747.0,Non-Hispanic White,OWS,Q036,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,31.4
2014,AL,2029.0,Non-Hispanic Black,OWS,Q036,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,41.9
2014,AL,70.0,Hispanic,OWS,Q036,Race/Ethnicity,Hispanic,RACE,RACEHIS,22.9
2014,AL,90.0,American Indian/Alaska Native,OWS,Q036,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,35.2
2014,AL,90.0,2 or more races,OWS,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,39.3
2014,AL,5747.0,Non-Hispanic White,OWS,Q037,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,34.6
2014,AL,2029.0,Non-Hispanic Black,OWS,Q037,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,29.9
2014,AL,70.0,Hispanic,OWS,Q037,Race/Ethnicity,Hispanic,RACE,RACEHIS,32.2
2014,AL,90.0,American Indian/Alaska Native,OWS,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,33.6
2014,AL,90.0,2 or more races,OWS,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,35.2
2014,AL,6019.0,Non-Hispanic White,PA,Q047,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,27.9
2014,AL,2171.0,Non-Hispanic Black,PA,Q047,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,28.4
2014,AL,77.0,Hispanic,PA,Q047,Race/Ethnicity,Hispanic,RACE,RACEHIS,16.2
2014,AL,95.0,American Indian/Alaska Native,PA,Q047,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,36.7
2014,AL,94.0,2 or more races,PA,Q047,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,16.5
2011,AK,2425.0,Non-Hispanic White,OWS,Q036,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,25.9
2011,AK,84.0,Hispanic,OWS,Q036,Race/Ethnicity,Hispanic,RACE,RACEHIS,31.5
2011,AK,477.0,American Indian/Alaska Native,OWS,Q036,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,30.9
2011,AK,128.0,2 or more races,OWS,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,23.3
2011,AK,63.0,Other,OWS,Q036,Race/Ethnicity,Other,RACE,RACEOTH,35.5
2011,AK,2425.0,Non-Hispanic White,OWS,Q037,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,38.5
2011,AK,84.0,Hispanic,OWS,Q037,Race/Ethnicity,Hispanic,RACE,RACEHIS,37.4
2011,AK,477.0,American Indian/Alaska Native,OWS,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,37.2
2011,AK,128.0,2 or more races,OWS,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,41.9
2011,AK,63.0,Other,OWS,Q037,Race/Ethnicity,Other,RACE,RACEOTH,29.8
2011,AK,132.0,2 or more races,FV,Q018,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,29.2
2011,AK,2373.0,Non-Hispanic White,FV,Q018,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,34.5
2011,AK,61.0,Other,FV,Q018,Race/Ethnicity,Other,RACE,RACEOTH,36.0
2011,AK,439.0,American Indian/Alaska Native,FV,Q018,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,47.7
2011,AK,71.0,Hispanic,FV,Q018,Race/Ethnicity,Hispanic,RACE,RACEHIS,51.7
2011,AK,2387.0,Non-Hispanic White,FV,Q019,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,14.8
2011,AK,72.0,Hispanic,FV,Q019,Race/Ethnicity,Hispanic,RACE,RACEHIS,27.5
2011,AK,432.0,American Indian/Alaska Native,FV,Q019,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,36.7
2011,AK,131.0,2 or more races,FV,Q019,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,17.9
2011,AK,60.0,Other,FV,Q019,Race/Ethnicity,Other,RACE,RACEOTH,18.6
2011,AK,2367.0,Non-Hispanic White,PA,Q043,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,62.0
2011,AK,70.0,Hispanic,PA,Q043,Race/Ethnicity,Hispanic,RACE,RACEHIS,46.5
2011,AK,433.0,American Indian/Alaska Native,PA,Q043,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,52.2
2011,AK,130.0,2 or more races,PA,Q043,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,56.2
2011,AK,58.0,Other,PA,Q043,Race/Ethnicity,Other,RACE,RACEOTH,49.9
2011,AK,75.0,Hispanic,PA,Q046,Race/Ethnicity,Hispanic,RACE,RACEHIS,30.9
2011,AK,2345.0,Non-Hispanic White,PA,Q044,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,26.8
2011,AK,68.0,Hispanic,PA,Q044,Race/Ethnicity,Hispanic,RACE,RACEHIS,15.7
2011,AK,418.0,American Indian/Alaska Native,PA,Q044,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,17.4
2011,AK,2417.0,Non-Hispanic White,PA,Q046,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,35.9
2011,AK,128.0,2 or more races,PA,Q044,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,25.1
2011,AK,57.0,Other,PA,Q044,Race/Ethnicity,Other,RACE,RACEOTH,32.9
2011,AK,2350.0,Non-Hispanic White,PA,Q045,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,40.0
2011,AK,70.0,Hispanic,PA,Q045,Race/Ethnicity,Hispanic,RACE,RACEHIS,34.0
2011,AK,428.0,American Indian/Alaska Native,PA,Q045,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,33.8
2011,AK,128.0,2 or more races,PA,Q045,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,33.3
2011,AK,58.0,Other,PA,Q045,Race/Ethnicity,Other,RACE,RACEOTH,30.1
2011,AK,454.0,American Indian/Alaska Native,PA,Q046,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,23.3
2011,AK,61.0,Other,PA,Q046,Race/Ethnicity,Other,RACE,RACEOTH,42.3
2011,AK,132.0,2 or more races,PA,Q046,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,26.9
2011,AK,2444.0,Non-Hispanic White,PA,Q047,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,18.9
2011,AK,78.0,Hispanic,PA,Q047,Race/Ethnicity,Hispanic,RACE,RACEHIS,23.5
2011,AK,472.0,American Indian/Alaska Native,PA,Q047,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,31.7
2011,AK,134.0,2 or more races,PA,Q047,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,30.2
2011,AK,63.0,Other,PA,Q047,Race/Ethnicity,Other,RACE,RACEOTH,35.6
2012,AK,2782.0,Non-Hispanic White,OWS,Q036,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,26.0
2012,AK,55.0,Non-Hispanic Black,OWS,Q036,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,39.0
2012,AK,122.0,Hispanic,OWS,Q036,Race/Ethnicity,Hispanic,RACE,RACEHIS,21.1
2012,AK,82.0,Asian,OWS,Q036,Race/Ethnicity,Asian,RACE,RACEASN,2.3
2012,AK,748.0,American Indian/Alaska Native,OWS,Q036,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,31.9
2012,AK,154.0,2 or more races,OWS,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,22.4
2012,AK,84.0,Other,OWS,Q036,Race/Ethnicity,Other,RACE,RACEOTH,21.5
2012,AK,2782.0,Non-Hispanic White,OWS,Q037,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,39.6
2012,AK,55.0,Non-Hispanic Black,OWS,Q037,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,35.8
2012,AK,122.0,Hispanic,OWS,Q037,Race/Ethnicity,Hispanic,RACE,RACEHIS,44.1
2012,AK,82.0,Asian,OWS,Q037,Race/Ethnicity,Asian,RACE,RACEASN,38.9
2012,AK,748.0,American Indian/Alaska Native,OWS,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,37.0
2012,AK,154.0,2 or more races,OWS,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,36.8
2012,AK,84.0,Other,OWS,Q037,Race/Ethnicity,Other,RACE,RACEOTH,31.2
2012,AK,2930.0,Non-Hispanic White,PA,Q047,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,15.5
2012,AK,59.0,Non-Hispanic Black,PA,Q047,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,37.7
2012,AK,130.0,Hispanic,PA,Q047,Race/Ethnicity,Hispanic,RACE,RACEHIS,15.3
2012,AK,88.0,Asian,PA,Q047,Race/Ethnicity,Asian,RACE,RACEASN,23.0
2012,AK,799.0,American Indian/Alaska Native,PA,Q047,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,27.8
2012,AK,162.0,2 or more races,PA,Q047,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,16.8
2012,AK,89.0,Other,PA,Q047,Race/Ethnicity,Other,RACE,RACEOTH,20.7
2013,AK,3194.0,Non-Hispanic White,OWS,Q036,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,26.4
2013,AK,65.0,Non-Hispanic Black,OWS,Q036,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,39.5
2013,AK,125.0,Hispanic,OWS,Q036,Race/Ethnicity,Hispanic,RACE,RACEHIS,31.7
2013,AK,92.0,Asian,OWS,Q036,Race/Ethnicity,Asian,RACE,RACEASN,30.3
2013,AK,621.0,American Indian/Alaska Native,OWS,Q036,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,33.6
2013,AK,184.0,2 or more races,OWS,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,23.2
2013,AK,3194.0,Non-Hispanic White,OWS,Q037,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,39.9
2013,AK,65.0,Non-Hispanic Black,OWS,Q037,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,27.8
2013,AK,125.0,Hispanic,OWS,Q037,Race/Ethnicity,Hispanic,RACE,RACEHIS,37.7
2013,AK,92.0,Asian,OWS,Q037,Race/Ethnicity,Asian,RACE,RACEASN,29.8
2013,AK,621.0,American Indian/Alaska Native,OWS,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,33.2
2013,AK,184.0,2 or more races,OWS,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,35.7
2013,AK,3104.0,Non-Hispanic White,FV,Q018,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,37.0
2013,AK,61.0,Non-Hispanic Black,FV,Q018,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,26.1
2013,AK,128.0,Hispanic,FV,Q018,Race/Ethnicity,Hispanic,RACE,RACEHIS,48.9
2013,AK,85.0,Asian,FV,Q018,Race/Ethnicity,Asian,RACE,RACEASN,46.5
