yearend,locationabbr,sample_size,gender,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2012,CO,6399.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,19.8
2012,CO,5244.0,Male,OWS,Q037,Gender,Male,GEN,MALE,42.9
2012,CO,6399.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,27.2
2013,CO,5824.0,Male,OWS,Q036,Gender,Male,GEN,MALE,20.8
2013,CO,7096.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,21.8
2013,CO,5824.0,Male,OWS,Q037,Gender,Male,GEN,MALE,42.6
2013,CO,7096.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,27.1
2013,CO,5255.0,Male,FV,Q018,Gender,Male,GEN,MALE,40.7
2013,CO,6913.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,30.7
2013,CO,6794.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,16.0
2013,CO,5184.0,Male,FV,Q019,Gender,Male,GEN,MALE,22.2
2013,CO,5218.0,Male,PA,Q043,Gender,Male,GEN,MALE,60.8
2013,CO,6806.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,60.1
2013,CO,5184.0,Male,PA,Q044,Gender,Male,GEN,MALE,29.7
2013,CO,6757.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,23.8
2013,CO,5189.0,Male,PA,Q045,Gender,Male,GEN,MALE,40.5
2013,CO,6773.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,36.5
2013,CO,5295.0,Male,PA,Q046,Gender,Male,GEN,MALE,40.6
2013,CO,6953.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,31.4
2013,CO,5348.0,Male,PA,Q047,Gender,Male,GEN,MALE,17.3
2013,CO,7022.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,18.6
2014,CO,5700.0,Male,OWS,Q036,Gender,Male,GEN,MALE,21.9
2014,CO,6867.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,20.7
2014,CO,5700.0,Male,OWS,Q037,Gender,Male,GEN,MALE,43.2
2014,CO,6867.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,28.5
2014,CO,5854.0,Male,PA,Q047,Gender,Male,GEN,MALE,14.8
2014,CO,7529.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,18.0
2011,CT,2570.0,Male,OWS,Q036,Gender,Male,GEN,MALE,25.4
2011,CT,3887.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,23.6
2011,CT,2570.0,Male,OWS,Q037,Gender,Male,GEN,MALE,42.0
2011,CT,3887.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,28.3
2011,CT,4022.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,26.9
2011,CT,2497.0,Male,FV,Q018,Gender,Male,GEN,MALE,37.4
2011,CT,2456.0,Male,FV,Q019,Gender,Male,GEN,MALE,24.6
2011,CT,3964.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,16.9
2012,DE,2958.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,27.8
2011,CT,2458.0,Male,PA,Q043,Gender,Male,GEN,MALE,54.2
2011,CT,3918.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,51.1
2011,CT,2429.0,Male,PA,Q044,Gender,Male,GEN,MALE,24.2
2011,CT,3874.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,19.5
2011,CT,2444.0,Male,PA,Q045,Gender,Male,GEN,MALE,35.2
2011,CT,3896.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,30.6
2011,CT,4009.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,27.1
2011,CT,2476.0,Male,PA,Q046,Gender,Male,GEN,MALE,34.4
2012,CT,3591.0,Male,OWS,Q036,Gender,Male,GEN,MALE,27.1
2012,CT,4721.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,24.1
2012,CT,3591.0,Male,OWS,Q037,Gender,Male,GEN,MALE,44.2
2012,CT,4721.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,29.2
2012,CT,3630.0,Male,PA,Q047,Gender,Male,GEN,MALE,20.8
2012,CT,5130.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,23.3
2013,CT,3127.0,Male,OWS,Q036,Gender,Male,GEN,MALE,25.5
2013,CT,4182.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,24.4
2013,CT,3127.0,Male,OWS,Q037,Gender,Male,GEN,MALE,43.9
2013,CT,4182.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,31.4
2013,CT,2906.0,Male,FV,Q018,Gender,Male,GEN,MALE,37.3
2013,CT,4167.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,30.4
2014,CT,3266.0,Male,OWS,Q036,Gender,Male,GEN,MALE,26.5
2013,CT,2860.0,Male,FV,Q019,Gender,Male,GEN,MALE,26.1
2013,CT,4094.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,18.6
2013,CT,2840.0,Male,PA,Q043,Gender,Male,GEN,MALE,52.5
2013,CT,4062.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,49.5
2013,CT,2810.0,Male,PA,Q044,Gender,Male,GEN,MALE,22.1
2013,CT,2826.0,Male,PA,Q045,Gender,Male,GEN,MALE,32.5
2013,CT,4014.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,19.5
2013,CT,4048.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,29.7
