yearend,locationabbr,sample_size,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,total,data_value
2014,CT,7237.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,26.3
2014,CT,7237.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.1
2014,CT,7943.0,PA,Q047,Total,Total,OVR,OVERALL,Total,20.6
2011,DE,4530.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.0
2011,DE,4625.0,FV,Q018,Total,Total,OVR,OVERALL,Total,39.2
2011,DE,4592.0,FV,Q019,Total,Total,OVR,OVERALL,Total,23.8
2011,DE,4511.0,PA,Q043,Total,Total,OVR,OVERALL,Total,48.5
2011,DE,4441.0,PA,Q044,Total,Total,OVR,OVERALL,Total,21.5
2011,DE,4459.0,PA,Q045,Total,Total,OVR,OVERALL,Total,28.3
2011,DE,4646.0,PA,Q046,Total,Total,OVR,OVERALL,Total,32.3
2011,DE,4728.0,PA,Q047,Total,Total,OVR,OVERALL,Total,27.0
2012,DE,4944.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,26.9
2012,DE,4944.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,39.1
2012,DE,5172.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.5
2013,DE,4893.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,31.1
2013,DE,4893.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,33.5
2013,DE,4828.0,FV,Q018,Total,Total,OVR,OVERALL,Total,40.4
2013,DE,4741.0,FV,Q019,Total,Total,OVR,OVERALL,Total,28.9
2013,DE,4751.0,PA,Q043,Total,Total,OVR,OVERALL,Total,49.7
2013,DE,4715.0,PA,Q044,Total,Total,OVR,OVERALL,Total,21.2
2013,DE,4723.0,PA,Q045,Total,Total,OVR,OVERALL,Total,31.1
2013,DE,4877.0,PA,Q046,Total,Total,OVR,OVERALL,Total,31.8
2013,DE,4926.0,PA,Q047,Total,Total,OVR,OVERALL,Total,27.8
2014,DE,3983.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,30.7
