yearend,locationabbr,sample_size,age(years),classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2014,AL,703.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,31.7
2014,AL,839.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,40.9
2014,AL,1364.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,39.9
2014,AL,1886.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,37.4
2014,AL,2989.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,28.9
2014,AL,409.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,26.3
2014,AL,703.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,32.3
2014,AL,839.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,31.3
2014,AL,1364.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,33.5
2014,AL,2989.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,39.0
2014,AL,438.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,19.0
2014,AL,758.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,20.2
2014,AL,894.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,25.4
2014,AL,1421.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,31.6
2014,AL,2001.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,32.3
2014,AL,3127.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,33.7
2011,AK,212.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,19.8
2011,AK,451.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,23.5
2011,AK,562.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,29.5
2011,AK,735.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,29.2
2011,AK,776.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,33.4
2011,AK,600.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,29.3
2011,AK,212.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,32.0
