yearend,locationabbr,sample_size,age(years),classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,OH,2790.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,30.6
2011,OH,2374.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,39.0
2011,OH,774.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,41.3
2011,OH,1240.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,43.7
2011,OH,1742.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,44.4
2011,OH,325.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,45.3
2011,OH,325.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,34.4
2011,OH,774.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,25.4
2011,OH,1226.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,26.1
2011,OH,1727.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,24.0
2011,OH,2346.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,24.4
2011,OH,2691.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,24.3
2011,OH,2393.0,55 - 64,PA,Q046,Age (years),55 - 64,AGEYR,AGEYR5564,24.6
2011,OH,318.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,60.4
2011,OH,760.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,53.0
2011,OH,1201.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,50.8
2011,OH,1718.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,50.3
2011,OH,2259.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,48.9
2011,OH,2775.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,49.3
2011,OH,312.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,36.3
2011,OH,751.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,24.9
2011,OH,1188.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,23.2
2011,OH,1698.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,17.1
2011,OH,2237.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,17.4
2011,OH,2727.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,15.2
2011,OH,317.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,41.1
2011,OH,751.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,30.8
2011,OH,2859.0,65 or older,PA,Q046,Age (years),65 or older,AGEYR,AGEYR65PLUS,23.8
2011,OH,1184.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,29.0
2011,OH,1703.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,31.3
2011,OH,2241.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,32.6
2011,OH,2746.0,65 or older,PA,Q045,Age (years),65 or older,AGEYR,AGEYR65PLUS,35.0
2011,OH,328.0,18 - 24,PA,Q046,Age (years),18 - 24,AGEYR,AGEYR1824,47.7
2011,OH,777.0,25 - 34,PA,Q046,Age (years),25 - 34,AGEYR,AGEYR2534,37.6
2011,OH,1230.0,35 - 44,PA,Q046,Age (years),35 - 44,AGEYR,AGEYR3544,30.3
2011,OH,1744.0,45 - 54,PA,Q046,Age (years),45 - 54,AGEYR,AGEYR4554,25.0
2011,OH,1245.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,26.5
2011,OH,337.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,15.7
2011,OH,788.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,20.2
2011,OH,1768.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,29.1
2011,OH,2419.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,31.2
2011,OH,2915.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,34.8
2012,OH,583.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,14.0
2012,OH,1122.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,28.8
2012,OH,1485.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,35.3
2012,OH,2247.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,34.4
2012,OH,2929.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,35.2
2012,OH,3893.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,28.8
2012,OH,583.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,25.4
2012,OH,1122.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,33.5
2012,OH,1485.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,33.9
2012,OH,2247.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,36.6
2012,OH,2929.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,38.4
2012,OH,3893.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.2
2012,OH,616.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,14.0
2012,OH,1202.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,17.7
2012,OH,1580.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,22.5
2012,OH,2352.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,25.5
2012,OH,3071.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,30.3
2012,OH,4065.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,36.5
2013,OH,590.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,17.8
2013,OH,1071.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,24.8
2013,OH,1380.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,35.3
2013,OH,2057.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,35.0
2013,OH,2601.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,37.4
2013,OH,3561.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,28.6
2013,OH,590.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,24.2
2013,OH,1071.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,34.5
2013,OH,1380.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,36.4
2013,OH,2057.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,33.6
2013,OH,2601.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,35.8
2013,OH,3561.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.1
2013,OH,548.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,49.1
2013,OH,1037.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,44.7
2013,OH,1333.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,44.6
2013,OH,2009.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,44.9
2013,OH,2619.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,39.7
2013,OH,3388.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,31.0
2013,OH,1992.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,23.9
2013,OH,1325.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,23.7
2013,OH,1022.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,29.7
2013,OH,2578.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,22.8
2013,OH,3274.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,24.3
2013,OH,543.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,37.6
2013,OH,541.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,52.8
2013,OH,1008.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,48.7
2013,OH,1313.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,48.9
2013,OH,1989.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,50.2
2013,OH,2522.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,48.5
2013,OH,3373.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,49.0
2013,OH,535.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,28.2
2013,OH,997.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,21.9
2013,OH,1302.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,17.5
2013,OH,1974.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,17.6
2013,OH,2506.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,17.2
2013,OH,3301.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,15.1
2013,OH,540.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,30.5
2013,OH,999.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,29.0
2013,OH,1308.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,28.1
2013,OH,1984.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,32.6
2013,OH,2518.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,31.7
2013,OH,3337.0,65 or older,PA,Q045,Age (years),65 or older,AGEYR,AGEYR65PLUS,36.1
2013,OH,548.0,18 - 24,PA,Q046,Age (years),18 - 24,AGEYR,AGEYR1824,43.0
2013,OH,1022.0,25 - 34,PA,Q046,Age (years),25 - 34,AGEYR,AGEYR2534,36.3
2013,OH,1325.0,35 - 44,PA,Q046,Age (years),35 - 44,AGEYR,AGEYR3544,26.3
2013,OH,2010.0,45 - 54,PA,Q046,Age (years),45 - 54,AGEYR,AGEYR4554,23.8
2013,OH,2631.0,55 - 64,PA,Q046,Age (years),55 - 64,AGEYR,AGEYR5564,25.3
2013,OH,3428.0,65 or older,PA,Q046,Age (years),65 or older,AGEYR,AGEYR65PLUS,21.7
2013,OH,564.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,17.5
2013,OH,1037.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,23.5
2013,OH,1337.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,27.7
2013,OH,2025.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,29.4
2013,OH,2648.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,30.5
2013,OH,3506.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,37.0
2014,OH,418.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,15.8
2014,OH,742.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,30.5
2014,OH,1104.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,31.6
2014,OH,1715.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,39.9
2014,OH,2536.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,39.2
2014,OH,3798.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,33.4
2014,OH,418.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,27.7
2014,OH,742.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,29.6
2014,OH,1104.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,37.4
2014,OH,1715.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,34.3
2014,OH,2536.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,35.2
2014,OH,3798.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,37.6
2014,OH,449.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,14.5
2014,OH,813.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,19.1
2014,OH,1161.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,21.7
2014,OH,1805.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,25.5
2014,OH,2699.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,28.8
2014,OH,3977.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,34.7
2011,OK,350.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,19.7
2011,OK,789.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,29.4
2011,OK,968.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,40.0
2011,OK,1405.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,32.7
2011,OK,1746.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,37.4
2011,OK,2901.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,26.3
2011,OK,350.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,26.3
2011,OK,789.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,33.4
2011,OK,966.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,34.8
2011,OK,1402.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,35.6
2011,OK,1737.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,35.6
2011,OK,2901.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,38.5
2011,OK,2763.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,38.3
2011,OK,1745.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,49.6
2011,OK,352.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,51.5
2011,OK,826.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,52.6
2011,OK,1407.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,52.9
2011,OK,975.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,57.4
2011,OK,351.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,34.1
2011,OK,822.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,28.3
2011,OK,982.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,25.9
2011,OK,1407.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,23.7
2011,OK,1752.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,27.2
2011,OK,2701.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,23.4
2011,OK,357.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,56.0
2011,OK,816.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,42.6
2011,OK,976.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,45.9
2011,OK,1416.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,42.1
2011,OK,1754.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,39.7
2011,OK,2806.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,44.6
2011,OK,355.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,30.4
2011,OK,815.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,19.0
2011,OK,974.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,16.9
2011,OK,1411.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,13.1
2011,OK,1753.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,10.7
2011,OK,2781.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,9.8
2011,OK,356.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,35.5
2011,OK,816.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,24.0
2011,OK,974.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,24.4
2011,OK,1412.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,23.8
2011,OK,1749.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,25.7
2011,OK,2792.0,65 or older,PA,Q045,Age (years),65 or older,AGEYR,AGEYR65PLUS,31.0
2011,OK,358.0,18 - 24,PA,Q046,Age (years),18 - 24,AGEYR,AGEYR1824,42.0
2011,OK,824.0,25 - 34,PA,Q046,Age (years),25 - 34,AGEYR,AGEYR2534,30.3
2011,OK,985.0,35 - 44,PA,Q046,Age (years),35 - 44,AGEYR,AGEYR3544,25.1
2011,OK,1429.0,45 - 54,PA,Q046,Age (years),45 - 54,AGEYR,AGEYR4554,18.6
2011,OK,1778.0,55 - 64,PA,Q046,Age (years),55 - 64,AGEYR,AGEYR5564,15.6
2011,OK,2862.0,65 or older,PA,Q046,Age (years),65 or older,AGEYR,AGEYR65PLUS,15.0
2011,OK,363.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,17.5
2011,OK,826.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,27.4
2011,OK,991.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,27.4
2011,OK,1433.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,33.4
2011,OK,1779.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,38.6
2011,OK,2891.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.0
2012,OK,363.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,25.2
2012,OK,866.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,31.8
2012,OK,939.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,35.7
2012,OK,1276.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,37.6
2012,OK,1702.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,35.7
2012,OK,2558.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,26.8
2012,OK,363.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,27.3
2012,OK,866.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,33.2
2012,OK,939.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,39.2
2012,OK,1276.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,34.7
2012,OK,1702.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,36.9
2012,OK,2558.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,39.8
2012,OK,396.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,17.9
2012,OK,926.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,19.4
2012,OK,982.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,26.5
2012,OK,1310.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,30.1
2012,OK,1760.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,33.1
2012,OK,2613.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,39.8
2013,OK,356.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,25.0
2013,OK,777.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,29.9
2013,OK,929.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,34.4
2013,OK,1267.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,40.1
2013,OK,1689.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,38.1
2013,OK,2857.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,26.9
2013,OK,356.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,28.3
2013,OK,777.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,32.7
2013,OK,929.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,39.5
2013,OK,1267.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,34.9
2013,OK,1689.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,36.1
2013,OK,2857.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,39.1
2013,OK,348.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,54.5
2013,OK,784.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,53.0
2013,OK,919.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,54.3
2013,OK,1230.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,50.3
2013,OK,1680.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,51.8
2013,OK,2706.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.5
2013,OK,2626.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,20.9
2013,OK,1642.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,25.1
2013,OK,918.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,20.5
2013,OK,1229.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,25.2
2013,OK,341.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,35.8
2014,OK,916.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,35.7
2013,OK,776.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,26.8
2014,OK,1224.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,40.0
2013,OK,336.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,46.4
2013,OK,775.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,43.7
2013,OK,904.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,47.2
2013,OK,1224.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,41.1
2013,OK,1651.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,42.0
2013,OK,2735.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,44.0
2013,OK,334.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,26.6
2013,OK,766.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,16.2
2013,OK,899.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,17.8
2013,OK,1221.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,13.8
2013,OK,1642.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,12.8
2013,OK,2717.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,11.2
2013,OK,330.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,27.4
2013,OK,769.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,24.8
2013,OK,920.0,35 - 44,PA,Q046,Age (years),35 - 44,AGEYR,AGEYR3544,25.8
2013,OK,901.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,27.7
2013,OK,1218.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,24.6
2013,OK,1643.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,26.0
2013,OK,2721.0,65 or older,PA,Q045,Age (years),65 or older,AGEYR,AGEYR65PLUS,33.1
2013,OK,350.0,18 - 24,PA,Q046,Age (years),18 - 24,AGEYR,AGEYR1824,40.2
2013,OK,783.0,25 - 34,PA,Q046,Age (years),25 - 34,AGEYR,AGEYR2534,28.6
2013,OK,1243.0,45 - 54,PA,Q046,Age (years),45 - 54,AGEYR,AGEYR4554,21.5
2013,OK,1681.0,55 - 64,PA,Q046,Age (years),55 - 64,AGEYR,AGEYR5564,17.6
2013,OK,2787.0,65 or older,PA,Q046,Age (years),65 or older,AGEYR,AGEYR65PLUS,16.4
2013,OK,354.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,23.3
2013,OK,794.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,28.2
2013,OK,928.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,27.4
2013,OK,1247.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,34.1
2013,OK,1694.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,38.9
2013,OK,2814.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,42.3
2014,OK,411.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,21.6
2014,OK,771.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,30.4
