yearend,locationabbr,sample_size,education,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AK,245.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,35.3
2011,AK,981.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,38.0
2011,AK,954.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,40.1
2011,AK,1150.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,39.9
2011,AK,1149.0,College graduate,FV,Q018,Education,College graduate,EDU,EDUCOGRAD,28.9
2011,AK,941.0,Some college or technical school,FV,Q018,Education,Some college or technical school,EDU,EDUCOTEC,37.3
2011,AK,219.0,Less than high school,FV,Q018,Education,Less than high school,EDU,EDUHS,43.3
2011,AK,915.0,High school graduate,FV,Q018,Education,High school graduate,EDU,EDUHSGRAD,47.5
2011,AK,217.0,Less than high school,FV,Q019,Education,Less than high school,EDU,EDUHS,27.5
2011,AK,931.0,High school graduate,FV,Q019,Education,High school graduate,EDU,EDUHSGRAD,25.4
2011,AK,947.0,Some college or technical school,FV,Q019,Education,Some college or technical school,EDU,EDUCOTEC,17.7
2011,AK,1131.0,College graduate,FV,Q019,Education,College graduate,EDU,EDUCOGRAD,12.8
2011,AK,219.0,Less than high school,PA,Q043,Education,Less than high school,EDU,EDUHS,53.1
2011,AK,923.0,High school graduate,PA,Q043,Education,High school graduate,EDU,EDUHSGRAD,49.9
2011,AK,932.0,Some college or technical school,PA,Q043,Education,Some college or technical school,EDU,EDUCOTEC,59.3
2011,AK,1130.0,College graduate,PA,Q043,Education,College graduate,EDU,EDUCOGRAD,67.2
2011,AK,210.0,Less than high school,PA,Q044,Education,Less than high school,EDU,EDUHS,20.7
2011,AK,904.0,High school graduate,PA,Q044,Education,High school graduate,EDU,EDUHSGRAD,17.4
2011,AK,923.0,Some college or technical school,PA,Q044,Education,Some college or technical school,EDU,EDUCOTEC,26.0
2011,AK,1122.0,College graduate,PA,Q044,Education,College graduate,EDU,EDUCOGRAD,33.8
2011,AK,216.0,Less than high school,PA,Q045,Education,Less than high school,EDU,EDUHS,39.5
2011,AK,910.0,High school graduate,PA,Q045,Education,High school graduate,EDU,EDUHSGRAD,30.1
2011,AK,927.0,Some college or technical school,PA,Q045,Education,Some college or technical school,EDU,EDUCOTEC,39.3
